,0
1902,I have left UK after 12 years working there on 3th Nov 2020. I knew this was coming so I have packed everything in my T5 and gone! I bet this is only the beginning of a very bad politics called BREXIT! good luck UK and stay safe my English friends!
1903,"Easy, give the French the nuclear fish job done, Deal!!"
1904,Reality Off Brexit starting Hit Home - This year has been a reality check were we are in world -  We punch over a weight in service sectors like Fincial services but rest of economy is declining - we are dependant on food and Medication from other countries . Next year looks like mean that going to be even more difficult . Is Tier 5 coming ?
1905,Ignorant lorry driving scum voted for  brexit. Happy now morons?
1906,It&#39;ll hit a million in the states before this is over
1907,This is utter shit all lies if you had a car accident during this pandemic they listed it as Covid don’t believe the media
1908,"80% of deaths in Democrat states, they control policy.<br>Trump gave them everything they asked for.<br>Cuomo has 30000 OAP death on his hands, ignored the fleet of ships ready to take the infected, sent them to nursing homes.<br>Republican states got it right.<br>BbC hit piece, by the ex CNN employed execs.<br>Revulting."
1909,"King James Version<br>King James Version<br><br>Revelation <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=22m18s"">22:18</a>-19<br>For <br>I testify unto every <br>Man that heareth the <br>Words of the prophecy <br>Of this book, If any <br>Man shall add unto <br>These things, God shall <br>Add unto him the <br>Plagues that are written <br>In This Book:<br><br>19<br>And if any man shall <br>Take away from the <br>Words of the Book of <br>This prophecy, God <br>shall take away his <br>Part out of the <br>Book of Life, and <br>Out of the Holy city, <br>and from the things <br>Which are written in <br>This Book.<br><br>One<br>Matthew 23:9<br><br>Jerusalem<br>Galatians <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=4m26s"">4:26</a><br>The Mother of us<br>All<br><br>One<br>Matthew 23:8<br>All ye are Brethren<br><br>One<br>Matthew <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=6m24s"">6:24</a><br><br>Revelation 16:7 <br>And <br>I heard another out of <br>The altar say, Even so, <br>Lord God Almighty, <br>True and Righteous are <br>Thy Judgments.<br><br>One<br>Galatians <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=3m20s"">3:20</a><br><br>One<br>John <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=12m44s"">12:44</a>-48<br><br>John <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=12m43s"">12:43</a><br>For they Loved the <br>Praise of men More <br>Than <br>The praise of God.<br><br>1 John 1:5<br>This <br>Then is The message <br>Which we have heard <br>Of him, and Declare <br>Unto you, that God <br>Is <br>Light, and in him <br>Is no darkness at <br>All.<br><br>Light<br>Genesis 1:5<br>Day<br><br>Light<br>Psalm 119:130<br><br>Psalm 118:27<br>God is The Lord<br><br>1 John 5:7<br>The Holy Ghost<br><br>Mark <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=12m29s"">12:29</a><br>One Lord<br><br>Revelation 16:3<br>And <br>The second Angel poured <br>Out his vial upon <br>The sea; and it <br>Became as The Blood <br>Of A Dead man: <br>And <br>Every Living soul Died <br>In the Sea.<br><br>One<br>Matthew 23:9<br>Is<br>Your Father, Which<br>Is<br>In Heaven<br><br>Genesis 1:3<br>Light<br><br>Acts 13:2<br>The Holy Ghost<br><br>Acts <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=7m52s"">7:52</a><br>The Just One<br><br>Light<br>Psalm 119:105<br><br>Light<br>John 1:6-12<br><br>Zechariah 14:9<br>His name One<br><br>Fire<br>Hebrews <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=12m29s"">12:29</a><br>Fire<br>Deuteronomy <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=4m24s"">4:24</a>-26<br>Save One<br>Luke <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=18m19s"">18:19</a><br><br>Revelation 16:9 <br>And <br>Men were scorched with <br>Great Heat, and Blasphemed <br>The name of God, <br>Which hath power over <br>These plagues: and <br>They repented Not to <br>Give him Glory.<br><br>Revelation <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=16m17s"">16:17</a><br>And <br>The seventh Angel poured <br>Out his vial into <br>The Air; and There came <br>A <br>Great voice out of <br>The temple of Heaven, <br>From the Throne, <br>Saying, <br>It is Done.<br><br>it<br>Exodus <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=16m14s"">16:14</a>-16<br>Omer<br>Acts 8:6<br>Philip<br>John <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=1m49s"">1:49</a><br>The King of Israel<br>Daniel <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=2m31s"">2:31</a>-38<br>Thou Art This Head<br>Of<br>Gold<br>Song of Solomon<br>7:5 Thine Head<br>Job <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=13m26s"">13:26</a>-28<br>My Feet<br>Revelation <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=1m15s"">1:15</a><br>And his Feet<br>Hebrews 7:2<br>King of Peace<br>Ezekiel <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=10m20s"">10:20</a><br>Living<br>Revelation <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=17m14s"">17:14</a><br>King of Kings<br>Romans <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=9m17s"">9:17</a><br>Pharaoh<br>Psalm 145:14<br>Be Bowed Down<br>John <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=8m17s"">8:17</a>-18<br>Two<br>Deuteronomy 6:4<br>One <br><br>Light<br>Psalm 27:1<br><br>Revelation 19:1<br>Alleluia<br>Acts <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=7m52s"">7:52</a><br>The Just One<br>Revelation 19:4<br>Alleluia<br>Revelation 4:2<br>One Sat on The<br>Throne<br><br>John <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=20m22s"">20:22</a><br>The Holy Ghost<br><br>1 John 1:5<br>God is Light<br>Light<br>Genesis 1:5<br>Day<br>Psalm 118:27<br>God is The Lord<br>1 John 5:7<br>The Holy Ghost<br>John <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=5m35s"">5:35</a><br>Light<br>Zechariah 14:9<br>His name One<br><br>Ecclesiastes <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=12m13s"">12:13</a>-14<br>Fear God<br><br>Revelation 22:9<br>Worship God<br><br><a href=""https://images.app.goo.gl/8eiYgsHWScZNGfBL8"">https://images.app.goo.gl/8eiYgsHWScZNGfBL8</a><br><br><a href=""https://images.app.goo.gl/uE1iPGaZizs1dgDy5"">https://images.app.goo.gl/uE1iPGaZizs1dgDy5</a>"
1910,"The Holy Quran<br>The Holy Quran<br><br>Surah <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=10m19s"">10:19</a><br>One Community<br><br>Allah<br>Surah <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=24m35s"">24:35</a><br>Light<br><br>Surah 10:90<br>Pharaoh<br><br>King James Version<br>King James Version<br><br>Revelation <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=22m18s"">22:18</a>-19<br>For I testify unto every man that heareth the words of the prophecy of this book, If any man shall add unto these things, God shall add unto him the plagues that are written in this book:<br><br>19 And if any man shall take away from the words of the book of this prophecy, God shall take away his part out of the book of life, and out of the holy city, and from the things which are written in this book.<br><br>John <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=12m43s"">12:43</a><br>For <br>They Loved the Praise <br>of <br>Men more than The <br>Praise of God.<br><br>Leviticus <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=18m22s"">18:22</a><br>Thou <br>Shalt not lie with mankind, <br>As with womankind: <br>it is abomination.<br><br>1 John 1:5<br>God is Light<br><br>Genesis 1:5<br>And <br>God called the Light <br>Day, and the Darkness <br>He called Night. And <br>The evening and <br>The Morning were <br>The First Day.<br><br>Psalm 118:24<br>it<br><br>Genesis <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=3m19s"">3:19</a> <br>In the Sweat of thy <br>Face shalt thou Eat <br>Bread, till thou Return <br>Unto the Ground; <br>For out of <br>it <br>Wast thou Taken: <br><br>Psalm 119:130<br>Light<br><br>Revelation <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=12m10s"">12:10</a><br>Our God Day and Night<br><br>Light<br>Psalm 118:27<br><br>Acts 13:2<br>The Holy Ghost<br><br>Light<br>John <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=5m35s"">5:35</a><br><br>Mark <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=12m29s"">12:29</a><br>One Lord<br><br>One<br>Genesis <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=41m25s"">41:25</a><br><br>Romans <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=9m17s"">9:17</a><br>Pharaoh<br><br>John <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=20m14s"">20:14</a><br>it<br>Exodus <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=16m14s"">16:14</a>-16<br>Omer<br>Acts 8:6<br>Philip<br>Daniel <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=2m31s"">2:31</a>-38<br>Thou Art This Head<br>Of<br>Gold<br>Revelation <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=17m14s"">17:14</a><br>King of Kings<br>Ezekiel <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=10m20s"">10:20</a><br>Living<br><br>Psalm 145:14<br>Be Bowed Down<br><br>John <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=8m17s"">8:17</a><br>Two<br><br>Job <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=6m10s"">6:10</a><br>The Holy One<br><br>1 Timothy <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=1m17s"">1:17</a><br>Now<br><br>Light<br>John <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=12m36s"">12:36</a><br><br>Psalm 95:7<br>Today<br><br>John <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=1m23s"">1:23</a><br>The Voice of One<br><br>Ecclesiastes <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=3m19s"">3:19</a><br>One Breath<br><br>John <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=20m22s"">20:22</a><br>And <br>When he had said <br>This, he Breathed <br>on them, and saith <br>Unto them, Receive ye <br>The Holy Ghost:<br><br>Light<br>Genesis 1:3<br><br>1 John 5:7<br>The Holy Ghost<br><br>John 1:1<br>The Word<br><br>Light<br>John 1:6-12<br>Name<br><br>Zechariah 14:9<br>His name One<br><br>Exodus 20:7<br>Name<br><br>One<br>Deuteronomy 6:4<br><br>Romans <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=10m13s"">10:13</a><br>For <br>Whosoever shall call <br>Upon the name <br>Of the Lord Shall <br>Be Saved.<br><br>Fire<br>Deuteronomy <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=4m24s"">4:24</a>-26<br>Fire<br>Hebrews <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=12m29s"">12:29</a><br>Save One<br>Luke <a href=""https://www.youtube.com/watch?v=9YS95WeODsc&amp;t=18m19s"">18:19</a>"
1911,I haven&#39; t seen anyone sick with this disease neither have I heard that any of my numerous friends and family have it.  However people die of cancer and even the most mild diseases nowadays because hospitals and therapies are  restricted and doctors are afraid to help people...  All because of the &quot;pandemic&quot; :(
1912,"Peaceful protest<br><br><a href=""https://youtu.be/HWGg_V_b87U"">https://youtu.be/HWGg_V_b87U</a> <br><br>DISGUSTING RIOT POLICE conduct at the protest <br><br>It started peaceful. People on stage then riot police randomly stormed in!!<br><br>Tyranny"
1913,"Looking at some of the comments here... Yeah, no wonder there are 200,000 deaths. More than half a year into the pandemic and so many people seem to still have no basic understanding of Covid. Covid isn&#39;t just &#39;flu&#39; or &#39;flu-like&#39;. Covid affects your immune system and thus affects your body&#39;s ability to deal with a number of other diseases/pre-existing conditions that you&#39;re then susceptible too. Hence if someone has Covid, and dies from pneumonia, or died from an existing condition that was, prior to Covid, manageable, then YES, those ARE Covid deaths. Because without the Covid factor, we are saying they could&#39;ve had a much higher chance of survival. If someone who has Covid got hit by a car, then NO, those aren&#39;t covid deaths and aren&#39;t recorded as such. Your country isn&#39;t the only country doing it in this manner - almost every other country is doing it the same way. And still, America, 200,000 deaths. We have 27 deaths where I&#39;m from and that&#39;s 27 too many - shouldn&#39;t have happened. But I guess for some people in the US, 90ish% of survival, 200,000 deaths, that&#39;s not too bad at all, this whole thing is a scam~ ...Idiocy is the more horrifying factor here."
1914,EVERYONE GO THE THE FAKE COVID 19 PROTESTS IN TRAFALGAR SQUARE TODAY AT NOON TO FIND OUT THE TRUTH..
1915,Watch david ickes interviews with the london real on the london real website or go to david ickes own website to find out what&#39;s really going on in the world....its unbelievable
1916,"<a href=""https://www.aljazeera.com/news/2020/9/25/egypt-braces-for-fresh-anti-sisi-protests"">https://www.aljazeera.com/news/2020/9/25/egypt-braces-for-fresh-anti-sisi-protests</a>"
1917,"We need to feel very sad for the UK as well. For the UK&#39;s population of 68 million, they have over 42,000 deaths. The USA has 5 times the population of the UK. So it seems the US is somewhat better than the UK in this regard."
1918,"200,000 people = virtually Nobody to Trump."
1919,██████╗░██████╗░░█████╗░  ██╗░░░░░██╗███████╗░██████╗<br>██╔══██╗██╔══██╗██╔══██╗  ██║░░░░░██║██╔════╝██╔════╝<br>██████╦╝██████╦╝██║░░╚═╝  ██║░░░░░██║█████╗░░╚█████╗░<br>██╔══██╗██╔══██╗██║░░██╗  ██║░░░░░██║██╔══╝░░░╚═══██╗<br>██████╦╝██████╦╝╚█████╔╝  ███████╗██║███████╗██████╔╝<br>╚═════╝░╚═════╝░░╚════╝░  ╚══════╝╚═╝╚══════╝╚═════╝░
